hk_customer_id,as_of_day,hash_diff,segment,city,state,postal_code,region,country
a578b3847117e7f08b203b85ed89fa486c35eb1000c7c077bea44618f90a0dad,2025-10-16,c4b7f07b001bdf435c2df5fd14e6e9d0dbb2876044cca3798c01e9dcfea29766,Consumer,Florence,Kentucky,41042,South,United States
e6c5998d4298ecc687bebbfce1d2d120b1f8e21ea3cb7a6db303e5961713b9f6,2025-10-16,cdb66ee51dd818f3e60fef6d4424efcc69003664ffc3fb17601e7d8d8aadd0d0,Home Office,Fayetteville,Arkansas,72701,South,United States
c1423eb26ffe45c2b0dea64bd355bee17f7da34987b8778b103a90809f396eac,2025-10-16,6e1e85cba29eba1017a68af541d8e37f5ae2569a6611a0810d55601b8ab73a86,Consumer,Broomfield,Colorado,80020,West,United States
62ffaee6280f8a327a5c3f73c333e385de657b34f7940d70d758b0380fb180f9,2025-10-16,02c3d965e9acef5a75ab4c895e88d073b696f574c263b9b0c1eaec22258f766b,Corporate,Montgomery,Alabama,36116,South,United States
9dda812554440817c5b83f24a316054f28fc38f3eac8e3b2d7e4f31c62ccd39c,2025-10-16,d10a49a5b37f396ca62dd13e2063b03778e0a9dba8bbc00fcb85d8b152e486e4,Corporate,Tempe,Arizona,85281,West,United States
d400f618a42302ad32096f6ba14559d7e46bce91297294e5fcc72064cb58886c,2025-10-16,c27a1fe6895bc52b31a1543e45fc1f97064bbf9d6675f4ea861271351047a166,Corporate,Freeport,Illinois,61032,Central,United States
a6644c80289176b19b47caee0343e282840dc9af24369f40b8129ea45b94e292,2025-10-16,037ae458fae0961f62d2bcd25f682ee1d0bf0afbdee2a4991fac385940ab8b35,Corporate,Laurel,Maryland,20707,East,United States
b2ccea7ceceab8f6bf3b317bb2895de4997e2fbf6c7beffd2998b221f141f543,2025-10-16,74514869d2ccb81c55ea65fc343090c7bc35e6b116b89e8f492214004191ef6a,Consumer,Akron,Ohio,44312,East,United States
2dd2b5603d818fb91046e92dcb1a0fee254499876ec0e1416d21e9329b274377,2025-10-16,10ab5bd016353fb48b510b440c0dd40c60e44cbb08bf383ba3e66c6e8209513c,Home Office,Highland Park,Illinois,60035,Central,United States
330b78f0912ffe98e4fbbfce6ee086c47afcdf379629981c645a9896486304a1,2025-10-16,e915911e99689c657e2aade5b4a18c28fa1571632ea75699eea2854f464aa901,Consumer,Smyrna,Tennessee,37167,South,United States
3d48361b3c224c638ae3a0012513eb1b5cb1dfda73b6dffa8cea6818c0151c7f,2025-10-16,8417d7809c86028afeaeb68d4875043618af0a0bec7fc905772b78c0e977b9e9,Home Office,Broken Arrow,Oklahoma,74012,Central,United States
